titulo,formato,precio,precio_unitario,categoria,fecha_extraccion
"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,17.75,3.55,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de oliva 0,4º Hacendado",Botella 1 L,3.70,3.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Garrafa 3 L,14.00,4.67,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Botella 1 L,4.85,4.85,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,5.95,7.93,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva 1º Hacendado,Garrafa 5 L,18.45,3.69,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva 1º Hacendado,Botella 1 L,3.95,3.95,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen Hacendado,Garrafa 3 L,12.15,4.05,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen Hacendado,Botella 1 L,4.35,4.35,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.80,14.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,5.45,10.90,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,8.70,1.74,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
"Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,1.80,1.80,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Aceite de coco virgen Hacendado,Bote 450 ml,5.45,12.11,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de vino blanco Hacendado,Botella 1 L,0.65,0.65,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de manzana Hacendado,Botella 1 L,0.90,0.90,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Limón exprimido Hacendado,Botella 280 ml,1.05,3.75,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,1.80,7.20,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre de Jerez reserva Hacendado,Botella 250 ml,2.00,8.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Reducción bálsamica de vinagre Pedro Ximénez Hacendado,Botella 300 g,2.25,7.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Vinagre balsámico de Módena Hacendado,Botella 500 ml,2.35,4.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal fina Hacendado,Paquete 1 kg,0.40,0.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal fina de mesa Hacendado,Bote 300 g,0.75,2.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal yodada fina Hacendado,Paquete 1 kg,0.45,0.45,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal gruesa Hacendado,Paquete 1 kg,0.40,0.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Bicarbonato de sódio Hacendado,Paquete 1 kg,1.50,1.50,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Bicarbonato de sódio Hacendado,Bote 300 g,1.10,3.67,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Escamas de sal marina natural Polasal,Bote 125 g,2.00,16.00,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal gruesa para hornear Hacendado,Paquete 2 kg,1.40,0.70,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal de ajo Hacendado,Bote 130 g,1.80,13.85,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal de frutas sabor limón Hacendado,Bote 250 g,2.10,8.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal 60% menos de sodio Hacendado,Bote 250 g,2.30,9.20,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Preparado para ahumar Hacendado,Bote 750 g,3.30,4.40,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Sal rosa del Himalaya Hacendado,Paquete 1 kg,2.65,2.65,"Aceite especias y salsas - Aceite, vinagre y sal",2025-06-07
Orégano Hacendado,Bote 25 g,1.00,40.00,Aceite especias y salsas - Especias,2025-06-07
Perejil Hacendado,Bote 18 g,0.90,50.00,Aceite especias y salsas - Especias,2025-06-07
Hoja de laurel Hacendado,Paquete 12 g,0.85,70.83,Aceite especias y salsas - Especias,2025-06-07
Hierbas provenzales Hacendado,Bote 25 g,1.20,48.00,Aceite especias y salsas - Especias,2025-06-07
Albahaca Hacendado,Bote 20 g,1.25,62.50,Aceite especias y salsas - Especias,2025-06-07
Romero Hacendado,Bote 40 g,1.35,33.75,Aceite especias y salsas - Especias,2025-06-07
Tomillo Hacendado,Bote 24 g,1.05,43.75,Aceite especias y salsas - Especias,2025-06-07
Eneldo Hacendado,Bote 18 g,1.85,102.78,Aceite especias y salsas - Especias,2025-06-07
Cilantro Hacendado,Bote 12 g,1.85,154.17,Aceite especias y salsas - Especias,2025-06-07
Ajo y Perejil Hacendado,Bote 74 g,1.35,18.24,Aceite especias y salsas - Especias,2025-06-07
Colorante alimentario Hacendado,Bote 85 g,0.95,11.18,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce Hacendado,Bote 56 g,1.00,17.86,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce de la Vera Hacendado,Bote 75 g,1.85,24.67,Aceite especias y salsas - Especias,2025-06-07
Azafrán molido Hacendado,"Paquete 4 sobres (0,4 g)",1.80,450.00,Aceite especias y salsas - Especias,2025-06-07
Azafrán hebra Hacendado,"Paquete 0,4 g",1.85,462.50,Aceite especias y salsas - Especias,2025-06-07
Pimentón picante Hacendado,Bote 60 g,1.35,22.50,Aceite especias y salsas - Especias,2025-06-07
Pimentón dulce Hacendado,Bote 75 g,1.30,17.33,Aceite especias y salsas - Especias,2025-06-07
Pimienta negra molida Hacendado,Bote 70 g,1.30,18.57,Aceite especias y salsas - Especias,2025-06-07
Molinillo pimienta negra Hacendado,Bote 65 g,1.85,28.46,Aceite especias y salsas - Especias,2025-06-07
Pimienta negra en grano Hacendado,Bote 70 g,1.70,24.29,Aceite especias y salsas - Especias,2025-06-07
Molinillo mix pimientas Hacendado,Bote 50 g,1.95,39.00,Aceite especias y salsas - Especias,2025-06-07
Pimienta blanca molida Hacendado,Bote 70 g,2.30,32.86,Aceite especias y salsas - Especias,2025-06-07
Ajo granulado Hacendado,Bote 115 g,1.20,10.43,Aceite especias y salsas - Especias,2025-06-07
Cebolla frita crujiente Hacendado,Bote 150 g,1.15,7.67,Aceite especias y salsas - Especias,2025-06-07
Canela molida Hacendado,Bote 52 g,1.00,19.23,Aceite especias y salsas - Especias,2025-06-07
Canela en rama Hacendado,Bote 19 g,1.50,78.95,Aceite especias y salsas - Especias,2025-06-07
Comino molido Hacendado,Bote 58 g,1.20,20.69,Aceite especias y salsas - Especias,2025-06-07
Comino en grano Hacendado,Bote 56 g,1.95,34.82,Aceite especias y salsas - Especias,2025-06-07
Curry Hacendado,Bote 57 g,1.30,22.81,Aceite especias y salsas - Especias,2025-06-07
Nuez moscada molida Hacendado,Bote 58 g,1.65,28.45,Aceite especias y salsas - Especias,2025-06-07
Cebolla en polvo Hacendado,Bote 60 g,0.94,15.67,Aceite especias y salsas - Especias,2025-06-07
Cayena guindillas Hacendado,Bote 27 g,1.36,50.37,Aceite especias y salsas - Especias,2025-06-07
Cayena molida Hacendado,Bote 55 g,1.65,30.00,Aceite especias y salsas - Especias,2025-06-07
Cúrcuma Hacendado,Bote 60 g,1.30,21.67,Aceite especias y salsas - Especias,2025-06-07
Jengibre molido Hacendado,Bote 49 g,1.65,33.67,Aceite especias y salsas - Especias,2025-06-07
Sal de ajo Hacendado,Bote 130 g,1.80,13.85,Aceite especias y salsas - Especias,2025-06-07
Ñoras Hacendado,Paquete 25 g,1.56,62.40,Aceite especias y salsas - Especias,2025-06-07
Clavo en grano Hacendado,Bote 42 g,1.75,41.67,Aceite especias y salsas - Especias,2025-06-07
Piñones Hacendado,Bote 70 g,3.02,43.14,Aceite especias y salsas - Especias,2025-06-07
Sazonador para fajitas Hacendado sabor tex-mex,Sobre 17 g,0.85,50.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador ajo y limón Hacendado para carne y pescado,Sobre 30 g,1.05,35.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador hierbas provenzales Hacendado para pollo y costillas,Sobre 24 g,1.00,41.67,Aceite especias y salsas - Especias,2025-06-07
Sazonador barbacoa Hacendado para pollo y costillas,Sobre 57 g,1.30,22.81,Aceite especias y salsas - Especias,2025-06-07
Sazonador para paella con azafrán Hacendado,Caja 5 sobres (20 g),1.50,75.00,Aceite especias y salsas - Especias,2025-06-07
Sazonador para burritos Hacendado,Sobre 40 g,1.30,32.50,Aceite especias y salsas - Especias,2025-06-07
Sazonador pollo y carne Hacendado,Bote 76 g,1.40,18.42,Aceite especias y salsas - Especias,2025-06-07
Sazonador pasta Hacendado,Bote 45 g,1.60,35.56,Aceite especias y salsas - Especias,2025-06-07
Mezcla de especias para gazpacho manchego Hacendado,Caja 5 sobres (10 g),2.50,250.00,Aceite especias y salsas - Especias,2025-06-07
Mayonesa Hacendado,Tarro 500 ml,1.20,2.40,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hacendado,Tarro 240 ml,1.00,4.17,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hacendado,Bote 490 ml,1.40,2.86,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa en sobres individuales Hacendado,12 sobres x 20 ml,1.30,65.00,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Mayonesa Hellmann's,Tarro 450 ml,2.95,6.56,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
Salsa Original Ligeresa,Tarro 425 ml,2.00,4.71,"Aceite especias y salsas - Mayonesa, ketchup y mostaza",2025-06-07
